keyword,location,website_url,phone_number
Tree Removal,Melbourne,https://business.google.com/v/treexpertise/05206508402690647352/76cf/_,"206508402, 45449605, 45449607, 402690647, 396926208, 290803205, 729927850, 726339193, 45532415, 45459555, 45449615, 341897712, 45449608, 45449600, 45449604, 834251278, 45449613, 45449602, 45449611, 726339194, 286732321, 823529411, 784352619, 45449599, 45532414, 45532408, 0703350154, 299999982, 45449601, 204190226, 0333333333, 423254027, 458877356, 97517170, 45449606, 232540270, 45449610, 45532413, 800000000, 45449616, 287620393, 456610832, 45449609, 434189771, 73296945, 729927862, 223180362, 729927724, 45449612, 45449614, 0892857143, 45449603, 887735618, 97684533, 0419022634"
Tree Removal,Melbourne,https://business.google.com/v/treexpertise/05206508402690647352/76cf/_,"206508402, 45449605, 45449607, 402690647, 396926208, 290803205, 45532415, 726339193, 45459555, 45449615, 341897712, 45449608, 729927876, 45449600, 45449604, 834251278, 45449613, 45449602, 45449611, 726339194, 286732321, 823529411, 784352619, 45449599, 45532414, 729927875, 397916406, 45532408, 299999982, 45449601, 406781394, 204190226, 0333333333, 423254027, 458877356, 781394006, 45449606, 232540270, 97517170, 45449610, 139400, 45532413, 800000000, 45449616, 287620393, 45449609, 434189771, 73296945, 729927862, 223180362, 729927724, 45449612, 45449614, 0892857143, 45449603, 399999976, 887735618, 97684533, 0419022634"
